Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR1	4	5	21	1	1,29	4	3	207
CR1	6	5	21	1	1,29	4	1	209
CR1	6	5	21	1	1,29	4	2	233
CR1	6	5	21	1	1,29	4	3	279
CR1	8	5	21	1	1,29	4	1	284
CR1	8	5	21	1	1,29	4	2	278
CR1	8	5	21	1	1,29	4	3	284
CR1	10	5	21	1	1,29	4	1	566
CR1	10	5	21	1	1,29	4	2	620
CR1	10	5	21	1	1,29	4	3	608
CR1	20	5	21	1	1,29	4	1	605
CR1	20	5	21	1	1,29	4	2	707
CR1	20	5	21	1	1,29	4	3	662
CR1	30	5	21	1	1,29	4	1	689
CR1	30	5	21	1	1,29	4	2	617
CR1	30	5	21	1	1,29	4	3	657
CR2	1	5	21	1	1,29	4	1	755
CR2	1	5	21	1	1,29	4	2	594
CR2	1	5	21	1	1,29	4	3	636
CR2	2	5	21	1	1,29	4	1	855
CR2	2	5	21	1	1,29	4	2	731
CR2	2	5	21	1	1,29	4	3	587
CR2	4	5	21	1	1,29	4	1	1268
CR2	4	5	21	1	1,29	4	2	1230
CR2	4	5	21	1	1,29	4	3	1469
CR2	6	5	21	1	1,29	4	1	1539
CR2	6	5	21	1	1,29	4	2	1728
CR2	6	5	21	1	1,29	4	3	1583
CR2	8	5	21	1	1,29	4	1	1912
CR2	8	5	21	1	1,29	4	2	1685
CR2	8	5	21	1	1,29	4	3	1890
CR2	10	5	21	1	1,29	4	1	1449
CR2	10	5	21	1	1,29	4	2	1436
CR2	10	5	21	1	1,29	4	3	1488
CR2	20	5	21	1	1,29	4	1	1756
CR2	20	5	21	1	1,29	4	2	1701
CR2	20	5	21	1	1,29	4	3	1748
CR2	30	5	21	1	1,29	4	1	1869
CR2	30	5	21	1	1,29	4	2	1648
CR2	30	5	21	1	1,29	4	3	1734
CR3	1	5	21	1	1,29	4	1	727
CR3	1	5	21	1	1,29	4	2	888
CR3	1	5	21	1	1,29	4	3	730
CR3	2	5	21	1	1,29	4	1	1356
CR3	2	5	21	1	1,29	4	2	1082
CR3	2	5	21	1	1,29	4	3	1180
CR3	4	5	21	1	1,29	4	1	1740
CR3	4	5	21	1	1,29	4	2	1817
CR3	4	5	21	1	1,29	4	3	1707
CR3	6	5	21	1	1,29	4	1	1469
CR3	6	5	21	1	1,29	4	2	1676
CR3	6	5	21	1	1,29	4	3	1838
CR3	8	5	21	1	1,29	4	1	1955
CR3	8	5	21	1	1,29	4	2	1953
CR3	8	5	21	1	1,29	4	3	1986
CR3	10	5	21	1	1,29	4	1	1878
CR3	10	5	21	1	1,29	4	2	2183
CR3	10	5	21	1	1,29	4	3	1970
CR3	20	5	21	1	1,29	4	1	1905
CR3	20	5	21	1	1,29	4	2	2355
CR3	20	5	21	1	1,29	4	3	2050
CR3	30	5	21	1	1,29	4	1	1813
CR3	30	5	21	1	1,29	4	2	1759
CR3	30	5	21	1	1,29	4	3	2142
CR4	1	5	21	1	1,29	4	1	1631
CR4	1	5	21	1	1,29	4	2	1903
CR4	1	5	21	1	1,29	4	3	1973
CR4	2	5	21	1	1,29	4	1	2447
CR4	2	5	21	1	1,29	4	2	2483
CR4	2	5	21	1	1,29	4	3	2556
CR4	4	5	21	1	1,29	4	1	3070
CR4	4	5	21	1	1,29	4	2	3145
CR4	4	5	21	1	1,29	4	3	2273
CR4	6	5	21	1	1,29	4	1	1832
CR4	6	5	21	1	1,29	4	2	2268
CR4	6	5	21	1	1,29	4	3	2648
CR4	8	5	21	1	1,29	4	1	2726
CR4	8	5	21	1	1,29	4	2	2929
CR4	8	5	21	1	1,29	4	3	3047
CR4	10	5	21	1	1,29	4	1	3772
CR4	10	5	21	1	1,29	4	2	3999
CR4	10	5	21	1	1,29	4	3	3069
CR4	20	5	21	1	1,29	4	1	4274
CR4	20	5	21	1	1,29	4	2	4360
CR4	20	5	21	1	1,29	4	3	4428
CR4	30	5	21	1	1,29	4	1	4502
CR4	30	5	21	1	1,29	4	2	4366
CR4	30	5	21	1	1,29	4	3	3986
CR5	1	5	21	1	1,29	4	1	1613
CR5	1	5	21	1	1,29	4	2	1634
CR5	1	5	21	1	1,29	4	3	1659
CR5	2	5	21	1	1,29	4	1	1941
CR5	2	5	21	1	1,29	4	2	2426
CR5	2	5	21	1	1,29	4	3	2420
CR5	4	5	21	1	1,29	4	1	2752
CR5	4	5	21	1	1,29	4	2	2871
CR5	4	5	21	1	1,29	4	3	1779
